абажур,"Колпак для лампы, светильника"
аббат,Настоятель мужского католического монастыря
аббатство,Католический монастырь
аббревиатура,"В словообразовании: существительное, образованное из усеченных отрезков слов (например, исполком, комсомол), из таких же отрезков в сочетании с целым словом (например, роддом, запчасти), а также из начальных звуков слов или названий их начальных букв (например, вуз, атс, мхат, цк, вднх), сложносокращенное слово"
аберрация,"Отклонение от чего-нибудь, а также искажение чего-нибудь"
абзац,Текст между двумя такими отступами
абитуриент,Obs выпускник средней школы
абонемент,"Документ, предоставляющий право на пользование чем-нибудь, какое-нибудь обслуживание, а также само такое право"
абонировать,"Получить(-чать) по абонементу, стать(быть) абонентом чего-нибудь"
абориген,"Коренной житель страны, местности"
абортивный,"1) Приостанавливающий или резко изменяющий развитие, течение болезни
2) Недоразвившийся"
абракадабра,"Бессмысленный, непонятный набор слов [по латинскому названию магического заклин ания]"
абрикос,"1) Южное фруктовое дерево семейства розоцветных, дающее сочные плоды с крупной косточкой
2) Южное плод его"
абсентеизм,В буржуазных странах: уклонение избирателей от участия в выборах в государст венные органы
абсолют,"Нечто самодовлеющее, независимое от каких-нибудь условий и отношений"
абсолютный,"1) Совершенный, полный
2) Безусловный, ни от чего не зависящий, взятый вне сравнения с чем-нибудь"
абстрагироваться,"Мысленно отвлечься (-екаться), представить (-влять) что-нибудь в абстрагированном виде"
абстракционизм,"В изобразительном искусстве 20 в.: направление, последователи которого изображают реальный мир как сочетание отвлеченных форм или цветовых пятен"
абстракция,"1) Отвлеченное понятие, теоретическое обобщение опыта
2) Мысленное отвлечение, обособление от тех или иных сторон, свойств или связей предметов и явлений для выделения существенных их признаков"
абсурдный,"Нелепый, бессмысленный"
абхазы,"Народ, составляющий основное население абхазской асср, входящей в грузинскую сср"
авангард,"1) Передовая, ведущая часть какой-нибудь общественной группы, класса
2) Часть войск (или флота), находящаяся впереди главных сил"
авангардизм,Стремление какой-нибудь общественной группы к главенствующей роли в чем-нибудь
аванзал,Помещение перед главным залом в общественных зданиях
аванпорт,Защищенная от волн внешняя часть порта
